mol_id,smiles
42,CC(=O)N1[C@H]2[C@](C[C@@H]3N2C(=O)C4=CC=CC=C4NC3=O)(C5=CC=CC=C51)C(C)(C)C=C
43,C[C@@]12CC[C@@]3([C@@]([C@]1(CC4=C(O2)C=C(OC4=O)C5=CC(=C(C(=C5)OC)O)OC)O)(C(=O)C=CC3(C)C)C)O
44,C[C@@]12CC[C@@]3([C@@]([C@]1(CC4=C(O2)C=C(OC4=O)C5=CC(=C(C(=C5)OC)OC)OC)O)(C(=O)C=CC3(C)C)C)O
45,[H]C(C1=CC=C(O)C(C[C@H](O)C(O)(C)C)=C1)=O
46,CC1(CCC2=C(O1)C=CC(=C2)C[C@@]3(C(=C(C(=O)O3)O)C4=CC=C(C=C4)O)C(=O)OC)C
47,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3OC)O
48,CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C
49,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC
50,C[C@@](CCCC(C)(C)O)(C1=C(C=C(C=C1)C(=O)O)O)O
51,CC(=O)N1[C@@H]2[C@@](C[C@]3(N2C(=O)C4=CC=CC=C4NC3=O)O)(C5=CC=CC=C51)C(C)(C)C=C
52,C1[C@H]2C(=O)N[C@H](C(=O)N2[C@@H]3[C@]1(C4=CC=CC=C4N3)[C@]56C[C@H]7C(=O)N[C@H](C(=O)N7[C@H]5NC8=CC=CC=C68)CC9=CC=CC=C9)CC1=CC=CC=C1
53,C/C=C/C=C\CC/C=C/C(=O)NCC(C)C 
54,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
55,COC1=C(C)C(=O)O/C1=C1/OC2CCCN3C(C4CC(C)C(=O)O4)CCC3C2C1C
56,O=CN(O)CCC[C@H](NC(=O)[C@@H](CO)NC(=O)[C@H]1COC(c2ccccc2O)=N1)C(=O)NCCC(=O)N[C@@H]1CCCN(O)C1=O
57,CC[C@@H]1C2C[C@H](O)CC[C@](C3CC[C@@]4(C([C@@H](CCC(O)=O)C)CCC4C3[C@@H]1O)C)2C
58,CCC(C(=O)NC/C=C/C=C(/C)\[C@@H]([C@@H](C)C([C@H](/C=C\C=C\C=C\C=C(/C)\C(=O)C1=C(C=CN(C1=O)C)O)O)O)OC)[C@@]2(C[C@@H](C([C@@H](O2)/C=C/C=C\C)(C)C)O)O
59,OC(CCCCCCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCCCC3=CC(C)OC3=O)O1
60,OC(CCCCCCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCC(O)CCCC3=CC(C)OC3=O)O1
61,OC(CCCC(O)CCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCCCCCCCC3=CC(C)OC3=O)O1
62,OC(CCCCCCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCC(O)C(O)CCC3=CC(C)OC3=O)O1
63,OC(CCCC(O)CCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCCC(O)CCC3=CC(C)OC3=O)O1
64,OC(CCCC(O)CCCCC(O)C)C1CCC(C(O2)CCC2C(O)CCCCCCCCCCCCC3=CC(C)OC3=O)O1
65,OC(CCCCCCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCCC(O)CCC3=CC(C)OC3=O)O1
66,OC(CCCC(O)CCCCCC)C1CCC(C(O2)CCC2C(O)CCCCCCCCCCCCC3=CC(C)OC3=O)O1
67,O=C(N[C@@H](CC1=CNC2=CC=CC=C12)C(N[C@@H]([C@@H](C)CC)C(N[C@@H]([C@@H](C)CC)C(N[C@@H](CC3=CNC4=CC=CC=C34)C(N[C@@H](CSSC[C@@H]5NC([C@H](CO)N)=O)C(N[C@@H](CSSC6)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)=O)=O)=O)=O)[C@H]7N(C([C@H]6NC5=O)=O)CCC7
68,O=C1[C@H](O[H])[C@]2([H])C([C@](C(C(C)(O)C)=C3)([H])[C@]3([H])[C@H]2C)=C1C
69,O[C@H](CC1)[C@@]2(C)[C@]([C@@H](OC([C@@H]3C)=O)[C@@]3([H])CC2)(O)C1=C
70,O=C1C=C[C@@](CC/C(OC2=O)=C/C)(C)C2=C1C
71,C[C@@H](CC)[C@@H](C(N[C@@H](C(N[C@H](CC(C)C)C(N[C@H](C(NC(C)C(N[C@@H]([C@@H](C)CC)C(N[C@@H](C(N[C@H]1CCCCNC(C)=O)=O)[C@@H](C)CC)=O)=O)=O)[C@@H](C)CC)=O)=O)CC2=CC=CC=C2)=O)NC1=O
72,N\C(=N\O)C(=N)NCCCCNC(=O)C(=O)c1cn(O)c2c(O)cccc12
73,N\C(=N\O)C(=N)NCCCCNC(=O)C(=O)c1cn(O)c2ccccc12
74,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
75,C1=CO[C@H]2C(=CC(=O)O2)[C@H]1O
76,C[C@H]1[C@H](C[C@@]2(C[C@@]([H])(NC3=NC[C@]1(N23)[H])CC4=CC(NC(N4)=O)=O)[H])OS(=O)(O)=O
77,CC(C1=CCC[C@@H]2CC[C@H]1N2)=O
78,COC1=CC(CCCCCCCC)=N/C1=C\C2=C(OC)C=C(C3=CC=CN3)N2
79,OC1=CC2=C(C=C1OC)C[C@@]3([H])C4=CC(OC)=C(OC)C=C4CC[N@+]32C
80,C1=COC=C(C1=O)CC(=O)O
81,OC1=CC=C(/C=C/C2=CC(O)=C([C@H](C3=CC(O)=C([C@H](C4=CC(O)=CC(O)=C4)[C@@H](C5=CC=C(O)C=C5O)O6)C6=C3)[C@@H](C7=CC=C(O)C=C7)O8)C8=C2)C=C1
82,OC1=CC(O)=C(/C=C/C2=CC(O)=C([C@H](C3=CC(O)=CC(O)=C3)[C@@H](C4=CC=C(O)C=C4O)O5)C5=C2)C=C1
83,OC1=CC=C(/C=C/C2=CC(O)=C([C@@H](C3=CC(O)=C([C@H](C4=CC(O)=CC(O)=C4)[C@@H](C5=CC=C(O)C=C5)O6)C6=C3)[C@H](C7=CC=C(O)C=C7)O8)C8=C2)C=C1
84,C1=CC(=CC=C1/C=C/C2=C3[C@@H]([C@H](OC3=CC(=C2)O)C4=C(C=C(C=C4)O)O)C5=CC(=CC(=C5)O)O)O
